year,constructorId,url,name,nationality
2016,mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
2016,red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
2016,renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French
2016,sauber,http://en.wikipedia.org/wiki/Sauber,Sauber,Swiss
2016,toro_rosso,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian
2016,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
2017,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
2017,force_india,http://en.wikipedia.org/wiki/Racing_Point_Force_India,Force India,Indian
2017,haas,http://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American
2017,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
2017,mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
2017,red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
2017,renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French
2017,sauber,http://en.wikipedia.org/wiki/Sauber,Sauber,Swiss
2017,toro_rosso,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian
2017,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
2018,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
2018,force_india,http://en.wikipedia.org/wiki/Racing_Point_Force_India,Force India,Indian
2018,haas,http://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American
2018,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
2018,mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
2018,red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
2018,renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French
2018,sauber,http://en.wikipedia.org/wiki/Sauber,Sauber,Swiss
2018,toro_rosso,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian
2018,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
2019,alfa,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss
2019,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
2019,haas,http://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American
2019,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
2019,mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
2019,racing_point,http://en.wikipedia.org/wiki/Racing_Point_F1_Team,Racing Point,British
2019,red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
2019,renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French
2019,toro_rosso,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,Toro Rosso,Italian
2019,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
2020,alfa,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss
2020,alphatauri,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri,AlphaTauri,Italian
2020,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
2020,haas,http://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American
2020,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
2020,mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
2020,racing_point,http://en.wikipedia.org/wiki/Racing_Point_F1_Team,Racing Point,British
2020,red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
2020,renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French
2020,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
2021,alfa,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss
